url,img,title,address,room,square,floor,type,price
https://www.ss.com/msg/lv/real-estate/flats/jurmala/bulluciems/akibg.html,https://i.ss.com/gallery/6/1099/274679/54935732.th2.jpg,"Sveigs remonts - praktiski nav bijis apdzīvots, nav bijis iz",BuļļuciemsLašu 5,3,82,01/05/24,Specpr.,110000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/kauguri/expxp.html,https://i.ss.com/gallery/6/1083/270506/54101200.th2.jpg,Pārdodu pilnībā mēbelētu dzīvokli zemi komunālie maksājumi.,KauguriTalinas 9,1,38,01/04/24,Specpr.,29500
https://www.ss.com/msg/lv/real-estate/flats/jurmala/bulduri/bbefl.html,https://i.ss.com/gallery/6/1083/270587/54117259.th2.jpg,"Dzīvoklis renovētā mājā, parkets, lieliska vieta pretim Face",BulduriBulduru 37,2,45,01/03/24,Renov.,139000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/asari/bfgpbd.html,https://i.ss.com/gallery/6/1172/292960/58591973.th2.jpg,Личная терраса 40 м2. Солнечная сторона. Идеальное состояние,AsariAsaru pr. 53,3,99,01/04/24,Jaun.,230000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/dzintari/nxmgg.html,https://i.ss.com/gallery/6/1172/292936/58587090.th2.jpg,"Турайдский квартал, квартирная собственность. Продажа от соб",DzintariTuraides 17,3,81,04/01/24,Jaun.,285000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/bulduri/dpopi.html,https://i.ss.com/gallery/6/1172/292941/58588093.th2.jpg,"Продается светлая, 3-ех комнатная квартира, в отличном месте",BulduriVienibas pr. 20,3,50,01/03/24,Jaun.,180000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/sloka/jmjje.html,https://i.ss.com/gallery/6/1107/276732/55346389.th2.jpg,"Divistabu dzīvoklis Kūdrā ar krāsns apkuri, ūdens un kanaliā",SlokaVecais ceļš 9,2,44,02/02/24,P. kara,21000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/dzintari/jbnkj.html,https://i.ss.com/gallery/6/1091/272612/54522265.th2.jpg,"Jūrmalā, jaunajā projektā ''Dzintaru Pērle'', augstas klases",DzintariRīgas 47,4,104,02/03/24,Jaun.,338800
https://www.ss.com/msg/lv/real-estate/flats/jurmala/sloka/hlego.html,https://i.ss.com/gallery/6/1121/280015/56002853.th2.jpg,Īpašnieks pārdod dzīvokli,Sloka39 14,1,25,05/05/24,Hrušč.,19500
https://www.ss.com/msg/lv/real-estate/flats/jurmala/kauguri/cpoid.html,https://i.ss.com/gallery/6/1086/271401/54280051.th2.jpg,Pārdodu 3 istabas dzīvoklis ērtā vietā - blakus Kauguru tirg,KauguriNometņu 9,3,81,04/05/24,103,70000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/dzintari/mkhde.html,https://i.ss.com/gallery/6/1064/265932/53186208.th2.jpg,Продается отличная квартира с видом на море с большой террас,DzintariDzintaru pr. 39,2,91,02/03/24,Jaun.,390000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/other/ejnbp.html,https://i.ss.com/gallery/6/1113/278113/55622544.th2.jpg,"300 m no jūras dzīvoklis Ķesterciemā, Albatross, Engures pag",Ķesterciems Engure 2,2,57,02/03/24,Specpr.,67777
https://www.ss.com/msg/lv/real-estate/flats/jurmala/lielupe/ghcnf.html,https://i.ss.com/gallery/6/1159/289656/57931154.th2.jpg,В тихой части Юрмалы продается отличная просторная квартира,Lielupe29. līnija 1,3,240,06/06/24,Specpr.,570000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/kauguri/bixpp.html,https://i.ss.com/gallery/6/1146/286358/57271412.th2.jpg,"Pārdod saulainu, gaišu 2 istabu dzīvokli, divstāvu ķieģeļu ē",KauguriArtilērijas 8,2,48,02/02/24,Hrušč.,40000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/kauguri/bxoej.html,https://i.ss.com/gallery/6/1140/284856/56971191.th2.jpg,"Pārdodu 3-istabu dzīvokli Jūrmalā. Dzīvoklis plašs, gaišs,",KauguriNometņu 11,3,78,05/05/24,103,68000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/jaundubulti/beolfj.html,https://i.ss.com/gallery/6/1104/275975/55194882.th2.jpg,Moderns 2 istabu dzīvoklis Jūrmalā. Ēkas izsmalcinātais veid,JaundubultiKrišjāna Valdemāra 13,2,37,02/02/24,Renov.,106000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/jaundubulti/beolei.html,https://i.ss.com/gallery/6/1104/275974/55194675.th2.jpg,Moderns dzīvoklis Jūrmalā. Ēkas izsmalcinātais veidols lieli,JaundubultiKrišjāna Valdemāra 13,2,42,02/02/24,Renov.,123000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/jaundubulti/kfxde.html,https://i.ss.com/gallery/6/1104/275974/55194675.th2.jpg,Pārdod modernu divistabu dzīvokli ar pilnu iekšējo apdari. Ē,JaundubultiKrišjāna Valdemāra 13,2,37,01/03/24,Renov.,98000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/dzintari/bdpipx.html,https://i.ss.com/gallery/6/1161/290060/58012000.th2.jpg,"Elitārā projektā, pašā Jūrmalas sirdī blakus Dzintaru mežapa",DzintariMadonas 5,4,253,02/04/24,Jaun.,750000
https://www.ss.com/msg/lv/real-estate/flats/jurmala/kauguri/cjbho.html,https://i.ss.com/gallery/6/1128/281821/56364071.th2.jpg,Продаю 2-комнатную квартиру. 2 изолированные комнаты. Стекло,KauguriSkolas 57,2,46,04/05/24,Hrušč.,31000
